Label	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
monthsSurvival	13	42	26	12	39	15	59	19	3	43	18	56	28	13	56	59	32	10	55	17	12	49	24	14	25	32	24	36	26	27	26	24	44	28	150	77	128	156	144	134	122	106	124	80	70	94	98	99	63	101	94	89	69	61	126	106	62	106	161	84	62	75	137	142	153	145	138	123	125	121	88	88	132	82	82	66	71	62
Age	37	44	43	30	39	39	41	45	28	43	41	30	28	38	44	45	38	36	37	33	42	47	41	50	41	38	48	39	50	52	52	51	54	53	43	44	41	41	48	49	46	48	48	38	37	46	41	48	46	49	48	32	48	34	39	45	41	49	45	40	45	40	52	54	52	54	52	54	54	52	54	52	46	53	54	54	54	53
NM_003739	-0.136 0.007 0.122 0.144 -0.348 -0.292 0.087 -0.354 -0.027 -0.407 -0.463 0.125 -0.068 0.093 -0.297 0.14 -0.2 -0.085 -0.395 0.132 -0.253 -0.248 0.067 0.339 -0.301 0.075 0.413 0.011 0.348 0.047 0.06 0.0 0.066 -0.122 -0.108 -0.427 0.009 0.292 -0.015 0.249 -0.023 0.031 0.084 0.292 -0.309 0.197 -0.027 -0.083 -0.386 -0.069 0.037 -0.037 -0.029 0.088 0.083 0.126 0.094 0.093 -0.388 -0.024 0.063 0.203 0.112 0.222 0.023 -0.228 0.399 0.248 -0.048 0.279 -0.464 0.288 -0.31 -0.027 -0.469 0.356 -0.165 0.295																																																																													
NM_000624	0.123 -0.437 -0.415 -0.444 -0.191 -0.577 -0.336 -0.06 -1.101 0.186 0.531 -0.074 -0.636 0.482 0.248 0.366 0.174 -0.336 -0.242 -0.581 -0.372 0.292 -0.369 -0.481 -0.113 0.266 -0.23 -0.603 -0.355 -0.007 0.351 -0.674 -0.026 -0.578 -0.113 0.19 0.074 -0.063 0.055 0.562 -0.04 -0.037 -0.043 0.423 -0.597 -0.337 0.17 -0.308 -0.289 -0.349 0.145 0.324 -0.474 -0.496 -0.126 -0.175 0.07 -0.268 0.712 0.098 0.212 0.02 -0.279 -0.087 -0.116 -0.305 0.42 0.621 -0.271 -0.306 -0.452 -0.32 0.166 -0.102 -0.249 -0.157 -0.328 -0.121																																																																													
NM_004877	0.01 -0.083 -0.085 -0.202 -0.422 -0.401 0.126 0.077 0.031 0.012 -0.24 0.333 0.47 -0.329 -0.212 -0.127 -0.168 -0.096 0.14 0.272 0.154 0.008 0.018 0.157 -0.209 -0.12 -0.045 -0.071 0.192 0.142 0.095 0.16 -0.107 -0.153 -0.063 -0.078 -0.124 0.318 0.103 -0.344 -0.048 0.338 0.185 -0.23 0.045 0.113 -0.18 -0.211 -0.251 0.005 -0.04 0.004 -0.007 0.163 -0.105 -0.24 -0.197 -0.03 0.089 -0.13 -0.137 0.312 0.207 0.167 0.286 0.098 -0.083 0.024 -0.054 0.272 -0.268 -0.069 -0.419 -0.028 -0.361 -0.149 0.024 -0.092																																																																													
NM_003897	0.178 -0.267 -0.11 -0.37 0.19 0.234 0.326 -0.227 0.032 0.104 0.419 -0.057 -0.59 -0.163 -0.041 -0.178 0.003 -0.013 0.034 -0.257 -0.409 -0.601 -0.259 -0.427 -0.398 -0.061 0.84 -0.548 -0.35 -0.108 -0.303 -0.004 0.267 -0.51 0.675 0.055 0.181 -0.357 -0.401 -0.073 -0.228 -0.037 0.289 -0.478 0.252 0.221 0.124 0.166 -0.183 -0.312 0.159 0.017 -0.282 -0.425 -0.126 0.611 -0.031 -0.054 -0.023 -0.502 -0.059 -0.219 -0.107 -0.238 -0.015 -0.484 0.223 -0.419 0.291 -0.34 0.165 0.293 -0.074 0.238 0.129 0.002 0.035 -0.188																																																																													
NM_020659	-1.112 -1.002 -1.12 0.335 -1.133 1.186 -0.229 -1.043 -0.298 -1.878 -1.232 -0.367 0.649 -0.939 -0.919 -1.074 -1.435 -0.67 -1.127 -1.256 0.83 -1.309 0.4 -0.717 -1.151 -1.143 -0.967 -0.685 -0.629 0.98 -1.157 -1.245 -1.324 -0.761 -0.881 -1.104 -1.146 -0.994 -1.206 -1.107 -0.735 -1.109 -1.126 -1.274 -1.252 0.762 -0.797 -1.123 -0.945 -1.062 -0.97 -1.311 -0.972 -1.082 -0.721 -1.054 -0.736 -0.264 -1.161 -1.14 -1.082 -0.027 -0.922 -0.757 -1.127 -1.356 -1.222 -1.299 -0.7 -0.91 -0.666 -1.471 -1.055 -0.97 -1.221 -1.246 -1.058 0.609																																																																													
NM_001888	-0.291 -0.313 -0.338 0.674 -0.433 -0.572 0.809 -0.377 0.024 -2.0 -0.63 -0.231 -0.647 -0.181 -0.26 -0.114 -0.638 -0.323 -0.483 0.53 -0.732 -0.577 -0.588 0.109 -0.56 -0.324 -0.057 -0.446 -0.009 -0.473 -0.278 0.718 -0.53 0.674 -0.424 -0.263 -0.007 0.216 0.61 0.064 -0.295 0.405 -0.087 -0.715 -0.229 -0.79 -0.468 -0.281 0.358 -0.32 -0.562 -0.575 0.105 -0.319 -0.463 -0.407 -0.345 -0.599 -1.069 -0.36 -0.239 -0.277 -0.173 0.723 -0.54 -0.435 -0.388 -0.54 -0.454 -0.371 -0.419 -0.646 0.733 0.539 -0.452 -0.531 0.359 -0.456																																																																													
NM_014766	-0.133 -0.048 0.254 -0.106 -0.313 -0.269 -0.02 0.096 -0.069 0.043 -0.393 0.07 -0.211 -0.486 -0.044 -0.283 0.171 -0.292 -0.464 0.001 -0.388 0.051 0.295 0.091 0.404 -0.182 0.124 -0.328 0.057 -0.022 0.092 -0.065 -0.233 0.708 -0.44 0.005 -0.33 -0.568 -0.03 -0.154 -0.021 -0.032 -0.199 -0.08 0.141 -0.203 -0.26 0.049 -0.331 0.05 0.005 -0.018 -0.219 -0.18 -0.116 -0.089 -0.137 -0.02 -0.327 0.039 -0.072 -0.134 -0.385 -0.181 -0.15 0.135 -0.367 -0.019 0.26 -0.22 -0.374 -0.222 -0.167 -0.05 0.021 0.02 0.382 -0.099																																																																													
